License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Rams,Ewes,Lambs
2014,305,R,1,10,10,0,0,0,0,
2014,305,SUM,1,10,10,0,0,0,0,
2014,315,R,1,45,45,1,1,0,0,
2014,315,SUM,1,45,45,1,1,0,0,
2014,340,R,1,2,2,1,1,0,0,
2014,340,SUM,1,2,2,1,1,0,0,
2014,421,N,1,2,2,1,1,0,0,
2014,421,R,1,4,4,1,1,0,0,
2014,421,SUM,2,6,3,2,2,0,0,
2014,422,R,4,22,6,4,4,0,0,
2014,422,SUM,4,22,6,4,4,0,0,
2014,423,R,2,21,11,2,2,0,0,
2014,423,SUM,2,21,11,2,2,0,0,
2014,424,R,4,27,7,4,4,0,0,
2014,424,SUM,4,27,7,4,4,0,0,
2014,441,R,4,17,6,4,3,0,0,
2014,441,SUM,4,17,6,4,3,0,0,
2014,482,N,1,7,7,1,1,0,0,
2014,482,R,34,159,5,29,15,14,0,
2014,482,SUM,35,166,5,30,16,14,0,
2014,500,N,5,36,7,1,1,0,0,
2014,500,R,16,72,5,1,1,0,0,
2014,500,SUM,21,107,5,2,2,0,0,
2014,501,N,18,143,8,0,0,0,0,
2014,501,R,33,210,6,3,2,0,0,
2014,501,SUM,51,353,7,3,2,0,0,
2014,502,N,7,55,8,1,1,0,0,
2014,502,R,16,96,6,0,0,0,0,
2014,502,SUM,23,150,7,1,1,0,0,
2014,503,R,3,38,13,3,3,0,0,
2014,503,SUM,3,38,13,3,3,0,0,
2014,620,R,1,3,3,1,1,0,0,
2014,620,SUM,1,3,3,1,1,0,0,
2014,622,N,2,3,2,2,0,2,0,
2014,622,R,24,84,3,22,9,13,0,
2014,622,SUM,26,87,3,24,9,15,0,
2014,680,N,3,7,2,2,2,0,0,
2014,680,R,56,303,5,40,22,18,0,
2014,680,SUM,59,310,5,42,24,18,0,
2014,Reg_1,N,2,12,6,2,2,0,0,
2014,Reg_1,R,27,343,13,22,18,3,0,
2014,Reg_1,SUM,29,355,12,24,20,3,0,
2014,Reg_2,N,1,2,2,1,1,0,0,
2014,Reg_2,R,24,260,11,23,15,6,0,
2014,Reg_2,SUM,25,262,11,24,16,6,0,
2014,Reg_3,N,11,58,5,2,0,2,0,
2014,Reg_3,R,86,573,7,24,11,12,0,
2014,Reg_3,SUM,97,631,7,26,11,14,0,
2014,Reg_4,N,2,9,5,2,2,0,0,
2014,Reg_4,R,49,250,5,44,29,14,0,
2014,Reg_4,SUM,51,259,5,46,31,14,0,
2014,Reg_5,N,30,234,8,2,2,0,0,
2014,Reg_5,R,68,415,6,7,6,0,0,
2014,Reg_5,SUM,98,649,7,9,8,0,0,
2014,Reg_6,N,5,10,2,4,2,2,0,
2014,Reg_6,R,82,390,5,63,32,31,0,
2014,Reg_6,SUM,87,400,5,67,34,33,0,
2014,State,N,52,325,6,13,9,4,0,
2014,State,R,335,2231,7,183,111,66,0,
2014,State,SUM,388,2556,7,196,120,70,0,
2015,100,R,2,24,12,2,2,0,0,
2015,100,SUM,2,24,12,2,2,0,0,
2015,102,R,1,44,44,1,1,0,0,
2015,102,SUM,1,44,44,1,1,0,0,
2015,121,R,1,15,15,1,1,0,0,
2015,121,SUM,1,15,15,1,1,0,0,
2015,123,N,0,0,0,0,0,0,0,
2015,123,R,3,38,13,3,2,0,0,
2015,123,SUM,3,38,13,3,2,0,0,
2015,124,R,12,113,10,11,7,3,0,
2015,124,SUM,12,113,10,11,7,3,0,
2015,203,R,12,51,4,12,5,7,0,
2015,203,SUM,12,51,4,12,5,7,0,
2015,210,N,2,3,2,2,1,1,0,
2015,210,R,2,9,5,2,1,1,0,
2015,210,SUM,4,12,3,4,2,2,0,
2015,212,R,1,5,5,1,1,0,0,
2015,212,SUM,1,5,5,1,1,0,0,
2015,213,R,2,45,23,2,2,0,0,
2015,213,SUM,2,45,23,2,2,0,0,
2015,216,R,9,54,6,9,1,8,0,
2015,216,SUM,9,54,6,9,1,8,0,
2015,250,R,1,20,20,1,1,0,0,
2015,250,SUM,1,20,20,1,1,0,0,
2015,261,R,1,10,10,1,1,0,0,
2015,261,SUM,1,10,10,1,1,0,0,
2015,270,R,1,3,3,1,0,0,0,
2015,270,SUM,1,3,3,1,0,0,0,
2015,300,N,4,20,6,0,0,0,0,
2015,300,R,20,116,6,0,0,0,0,
2015,300,SUM,23,136,6,0,0,0,0,
2015,301,R,5,53,11,5,5,0,0,
2015,301,SUM,5,53,11,5,5,0,0,
2015,302,R,13,115,9,9,3,6,0,
2015,302,SUM,13,115,9,9,3,6,0,
2015,303,N,2,9,5,1,1,0,0,
2015,303,R,24,234,10,1,1,0,0,
2015,303,SUM,26,243,9,2,2,0,0,
2015,315,N,22,152,7,3,0,2,0,
2015,315,R,218,1460,7,20,6,12,0,
2015,315,SUM,239,1612,7,23,6,14,0,
2015,340,R,1,4,4,1,1,0,0,
2015,340,SUM,1,4,4,1,1,0,0,
2015,421,R,2,19,10,2,2,0,0,
2015,421,SUM,2,19,10,2,2,0,0,
2015,422,R,4,12,3,4,4,0,0,
2015,422,SUM,4,12,3,4,4,0,0,
2015,423,R,2,18,9,2,2,0,0,
2015,423,SUM,2,18,9,2,2,0,0,
2015,424,N,1,3,3,1,1,0,0,
2015,424,R,2,27,14,2,2,0,0,
2015,424,SUM,3,30,10,3,3,0,0,
2015,441,R,4,97,24,4,4,0,0,
2015,441,SUM,4,97,24,4,4,0,0,
2015,482,N,4,14,4,3,2,1,0,
2015,482,R,34,194,6,32,19,13,0,
2015,482,SUM,38,208,6,35,21,14,0,
2015,500,N,12,81,7,0,0,0,0,
2015,500,R,29,204,7,2,2,0,0,
2015,500,SUM,41,285,7,2,2,0,0,
2015,501,N,16,136,9,1,1,0,0,
2015,501,R,35,301,9,0,0,0,0,
2015,501,SUM,51,437,9,1,1,0,0,
2015,502,N,8,56,7,1,1,0,0,
2015,502,R,27,148,6,2,2,0,0,
2015,502,SUM,35,204,6,3,3,0,0,
2015,503,R,3,67,22,2,2,0,0,
2015,503,SUM,3,67,22,2,2,0,0,
2015,620,N,1,1,1,1,1,0,0,
2015,620,SUM,1,1,1,1,1,0,0,
2015,622,N,1,1,1,1,1,0,0,
2015,622,R,37,126,4,34,8,25,0,
2015,622,SUM,38,127,4,35,9,25,0,
2015,680,N,4,13,3,4,2,2,0,
2015,680,R,60,384,6,41,23,18,0,
2015,680,SUM,64,397,6,45,25,20,0,
2015,Reg_1,R,19,234,13,18,13,3,0,
2015,Reg_1,SUM,19,234,13,18,13,3,0,
2015,Reg_2,N,2,3,2,2,1,1,0,
2015,Reg_2,R,29,197,7,29,12,16,0,
2015,Reg_2,SUM,31,200,7,31,13,17,0,
2015,Reg_3,N,27,181,7,4,1,2,0,
2015,Reg_3,R,280,1982,7,36,16,18,0,
2015,Reg_3,SUM,307,2164,7,40,17,20,0,
2015,Reg_4,N,5,17,3,4,3,1,0,
2015,Reg_4,R,48,368,8,46,33,13,0,
2015,Reg_4,SUM,53,385,7,50,36,14,0,
2015,Reg_5,N,36,272,8,2,2,0,0,
2015,Reg_5,R,94,719,8,6,6,0,0,
2015,Reg_5,SUM,130,992,8,8,8,0,0,
2015,Reg_6,N,6,15,3,6,4,2,0,
2015,Reg_6,R,97,510,5,74,31,42,0,
2015,Reg_6,SUM,103,525,5,80,35,44,0,
2015,State,N,78,509,7,18,11,6,0,
2015,State,R,568,4010,7,209,111,93,0,
2015,State,SUM,645,4518,7,227,122,99,0,
2016,100,R,2,13,7,2,2,0,0,
2016,100,SUM,2,13,7,2,2,0,0,
2016,102,R,1,6,6,1,1,0,0,
2016,102,SUM,1,6,6,1,1,0,0,
2016,121,R,1,6,6,1,1,0,0,
2016,121,SUM,1,6,6,1,1,0,0,
2016,123,R,0,0,0,0,0,0,0,
2016,123,SUM,0,0,0,0,0,0,0,
2016,124,N,1,3,3,1,1,0,0,
2016,124,R,12,52,4,10,7,3,0,
2016,124,SUM,13,55,4,11,8,3,0,
2016,203,R,12,89,7,12,5,7,0,
2016,203,SUM,12,89,7,12,5,7,0,
2016,210,R,4,16,4,4,2,2,0,
2016,210,SUM,4,16,4,4,2,2,0,
2016,212,R,0,0,0,0,0,0,0,
2016,212,SUM,0,0,0,0,0,0,0,
2016,213,R,1,6,6,1,1,0,0,
2016,213,SUM,1,6,6,1,1,0,0,
2016,216,N,1,1,1,1,0,1,0,
2016,216,R,11,50,5,10,2,8,0,
2016,216,SUM,12,51,4,11,2,9,0,
2016,250,R,3,60,20,2,2,0,0,
2016,250,SUM,3,60,20,2,2,0,0,
2016,261,R,0,0,0,0,0,0,0,
2016,261,SUM,0,0,0,0,0,0,0,
2016,270,R,3,30,10,3,3,0,0,
2016,270,SUM,3,30,10,3,3,0,0,
2016,300,N,5,29,6,1,1,0,0,
2016,300,R,16,78,5,0,0,0,0,
2016,300,SUM,21,107,5,1,1,0,0,
2016,301,N,1,1,1,1,1,0,0,
2016,301,R,16,75,5,13,4,9,0,
2016,301,SUM,17,76,5,14,5,9,0,
2016,302,N,1,15,15,1,1,0,0,
2016,302,R,10,55,6,6,5,1,0,
2016,302,SUM,11,70,6,7,6,1,0,
2016,303,N,4,26,7,1,0,0,0,
2016,303,R,29,246,8,2,2,0,0,
2016,303,SUM,33,272,8,3,2,0,0,
2016,315,N,1,6,6,0,0,0,0,
2016,315,R,40,373,9,5,2,2,0,
2016,315,SUM,41,379,9,5,2,2,0,
2016,340,R,1,12,12,1,1,0,0,
2016,340,SUM,1,12,12,1,1,0,0,
2016,421,R,2,10,5,2,2,0,0,
2016,421,SUM,2,10,5,2,2,0,0,
2016,422,R,5,36,7,5,5,0,0,
2016,422,SUM,5,36,7,5,5,0,0,
2016,423,R,2,16,8,1,1,0,0,
2016,423,SUM,2,16,8,1,1,0,0,
2016,424,R,4,36,9,4,4,0,0,
2016,424,SUM,4,36,9,4,4,0,0,
2016,441,N,1,5,5,1,1,0,0,
2016,441,R,4,43,11,4,4,0,0,
2016,441,SUM,5,48,10,5,5,0,0,
2016,455,R,1,15,15,1,1,0,0,
2016,455,SUM,1,15,15,1,1,0,0,
2016,482,N,2,3,2,2,2,0,0,
2016,482,R,49,196,4,42,17,25,0,
2016,482,SUM,51,199,4,44,19,25,0,
2016,500,N,1,12,12,0,0,0,0,
2016,500,R,25,162,7,1,1,0,0,
2016,500,SUM,26,174,7,1,1,0,0,
2016,501,N,10,64,6,1,1,0,0,
2016,501,R,27,176,7,1,1,0,0,
2016,501,SUM,38,241,6,2,2,0,0,
2016,502,N,8,84,11,0,0,0,0,
2016,502,R,10,59,6,1,1,0,0,
2016,502,SUM,18,143,8,1,1,0,0,
2016,503,R,3,42,14,3,3,0,0,
2016,503,SUM,3,42,14,3,3,0,0,
2016,620,N,1,1,1,1,1,0,0,
2016,620,SUM,1,1,1,1,1,0,0,
2016,622,N,3,10,3,3,1,2,0,
2016,622,R,70,266,4,57,10,46,0,
2016,622,SUM,73,276,4,60,11,48,0,
2016,680,N,6,37,6,5,2,3,0,
2016,680,R,59,301,5,44,23,21,0,
2016,680,SUM,65,338,5,49,25,24,0,
2016,Reg_1,N,1,3,3,1,1,0,0,
2016,Reg_1,R,16,77,5,14,11,3,0,
2016,Reg_1,SUM,17,80,5,15,12,3,0,
2016,Reg_2,N,1,1,1,1,0,1,0,
2016,Reg_2,R,34,252,7,32,15,17,0,
2016,Reg_2,SUM,35,253,7,33,15,18,0,
2016,Reg_3,N,12,77,7,4,3,0,0,
2016,Reg_3,R,112,839,8,27,14,12,0,
2016,Reg_3,SUM,123,916,7,31,17,12,0,
2016,Reg_4,N,3,8,3,3,3,0,0,
2016,Reg_4,R,67,352,5,59,34,25,0,
2016,Reg_4,SUM,70,360,5,62,37,25,0,
2016,Reg_5,N,19,160,8,1,1,0,0,
2016,Reg_5,R,65,438,7,6,6,0,0,
2016,Reg_5,SUM,84,599,7,7,7,0,0,
2016,Reg_6,N,10,48,5,9,4,5,0,
2016,Reg_6,R,129,567,5,102,33,67,0,
2016,Reg_6,SUM,139,615,5,111,37,72,0,
2016,State,N,48,306,6,19,12,6,0,
2016,State,R,423,2525,6,240,113,124,0,
2016,State,SUM,471,2831,6,259,125,130,0,
2017,100,N,1,5,5,1,1,0,0,
2017,100,R,1,14,14,1,1,0,0,
2017,100,SUM,2,19,10,2,2,0,0,
2017,102,N,1,7,7,1,0,1,0,
2017,102,SUM,1,7,7,1,0,1,0,
2017,121,R,0,0,0,0,0,0,0,
2017,121,SUM,0,0,0,0,0,0,0,
2017,123,R,4,70,18,3,3,0,0,
2017,123,SUM,4,70,18,3,3,0,0,
2017,124,R,12,57,5,9,6,3,0,
2017,124,SUM,12,57,5,9,6,3,0,
2017,203,R,11,96,9,11,4,6,0,
2017,203,SUM,11,96,9,11,4,6,0,
2017,210,R,4,31,8,4,2,2,0,
2017,210,SUM,4,31,8,4,2,2,0,
2017,212,R,1,30,30,1,1,0,0,
2017,212,SUM,1,30,30,1,1,0,0,
2017,213,R,2,14,7,2,2,0,0,
2017,213,SUM,2,14,7,2,2,0,0,
2017,216,N,1,4,4,1,1,0,0,
2017,216,R,11,26,2,10,1,9,0,
2017,216,SUM,12,30,3,11,2,9,0,
2017,250,N,1,2,2,1,1,0,0,
2017,250,R,2,20,10,2,2,0,0,
2017,250,SUM,3,22,7,3,3,0,0,
2017,261,R,1,25,25,1,1,0,0,
2017,261,SUM,1,25,25,1,1,0,0,
2017,270,R,3,9,3,3,3,0,0,
2017,270,SUM,3,9,3,3,3,0,0,
2017,300,N,3,20,8,0,0,0,0,
2017,300,R,19,75,4,2,1,0,0,
2017,300,SUM,22,95,4,2,1,0,0,
2017,301,R,17,102,6,16,7,8,0,
2017,301,SUM,17,102,6,16,7,8,0,
2017,302,R,7,55,8,6,4,2,0,
2017,302,SUM,7,55,8,6,4,2,0,
2017,303,N,4,12,3,0,0,0,0,
2017,303,R,15,45,3,2,2,0,0,
2017,303,SUM,19,57,3,2,2,0,0,
2017,340,N,1,8,8,1,1,0,0,
2017,340,R,1,4,4,1,1,0,0,
2017,340,SUM,2,12,6,2,2,0,0,
2017,421,R,2,10,5,2,2,0,0,
2017,421,SUM,2,10,5,2,2,0,0,
2017,422,N,1,1,1,1,1,0,0,
2017,422,R,4,47,12,4,4,0,0,
2017,422,SUM,5,48,10,5,5,0,0,
2017,423,R,2,16,8,2,2,0,0,
2017,423,SUM,2,16,8,2,2,0,0,
2017,424,R,4,32,8,4,4,0,0,
2017,424,SUM,4,32,8,4,4,0,0,
2017,441,R,2,36,18,1,1,0,0,
2017,441,SUM,2,36,18,1,1,0,0,
2017,455,R,0,0,0,0,0,0,0,
2017,455,SUM,0,0,0,0,0,0,0,
2017,482,N,5,12,2,5,2,3,0,
2017,482,R,48,308,6,37,17,19,0,
2017,482,SUM,53,320,6,42,19,22,0,
2017,500,N,15,68,5,0,0,0,0,
2017,500,R,20,115,6,2,2,0,0,
2017,500,SUM,34,183,5,2,2,0,0,
2017,501,N,6,58,10,0,0,0,0,
2017,501,R,32,211,7,0,0,0,0,
2017,501,SUM,37,270,7,0,0,0,0,
2017,502,N,8,52,7,0,0,0,0,
2017,502,R,21,116,6,1,1,0,0,
2017,502,SUM,29,168,6,1,1,0,0,
2017,503,R,3,16,5,3,3,0,0,
2017,503,SUM,3,16,5,3,3,0,0,
2017,620,R,1,4,4,1,1,0,0,
2017,620,SUM,1,4,4,1,1,0,0,
2017,622,N,4,8,2,4,1,3,0,
2017,622,R,51,201,4,35,12,23,0,
2017,622,SUM,55,209,4,39,13,26,0,
2017,680,N,3,29,10,3,2,1,0,
2017,680,R,64,356,6,42,20,22,0,
2017,680,SUM,67,385,6,45,22,23,0,
2017,Reg_1,N,2,12,6,2,1,1,0,
2017,Reg_1,R,17,141,8,13,10,3,0,
2017,Reg_1,SUM,19,153,8,15,11,4,0,
2017,Reg_2,N,2,6,3,2,2,0,0,
2017,Reg_2,R,34,251,7,33,16,16,0,
2017,Reg_2,SUM,36,257,7,35,18,16,0,
2017,Reg_3,N,8,40,5,1,1,0,0,
2017,Reg_3,R,59,281,5,27,15,10,0,
2017,Reg_3,SUM,66,321,5,28,16,10,0,
2017,Reg_4,N,6,13,2,6,3,3,0,
2017,Reg_4,R,62,449,7,50,30,19,0,
2017,Reg_4,SUM,68,462,7,56,33,22,0,
2017,Reg_5,N,29,178,6,0,0,0,0,
2017,Reg_5,R,75,458,6,6,6,0,0,
2017,Reg_5,SUM,104,636,6,6,6,0,0,
2017,Reg_6,N,7,37,5,7,3,4,0,
2017,Reg_6,R,115,561,5,78,33,45,0,
2017,Reg_6,SUM,122,598,5,85,36,49,0,
2017,State,N,54,290,5,18,10,8,0,
2017,State,R,363,2165,6,207,110,93,0,
2017,State,SUM,417,2455,6,225,120,101,0,
2018,100,R,3,18,6,3,3,0,0,
2018,100,SUM,3,18,6,3,3,0,0,
2018,102,N,1,8,8,1,1,0,0,
2018,102,SUM,1,8,8,1,1,0,0,
2018,121,R,1,25,25,1,1,0,0,
2018,121,SUM,1,25,25,1,1,0,0,
2018,123,R,4,42,11,3,3,0,0,
2018,123,SUM,4,42,11,3,3,0,0,
2018,124,R,7,79,11,7,5,1,1,
2018,124,SUM,7,79,11,7,5,1,1,
2018,203,R,12,48,4,12,5,7,0,
2018,203,SUM,12,48,4,12,5,7,0,
2018,210,R,2,49,25,2,0,0,2,
2018,210,SUM,2,49,25,2,0,0,2,
2018,212,R,1,7,7,1,1,0,0,
2018,212,SUM,1,7,7,1,1,0,0,
2018,213,R,2,40,20,2,2,0,0,
2018,213,SUM,2,40,20,2,2,0,0,
2018,216,N,1,1,1,0,0,0,0,
2018,216,R,11,68,6,8,2,6,0,
2018,216,SUM,12,69,6,8,2,6,0,
2018,250,N,1,4,4,1,1,0,0,
2018,250,R,2,9,5,2,1,0,1,
2018,250,SUM,3,13,4,3,2,0,1,
2018,261,N,1,2,2,1,1,0,0,
2018,261,SUM,1,2,2,1,1,0,0,
2018,270,R,2,38,19,2,2,0,0,
2018,270,SUM,2,38,19,2,2,0,0,
2018,300,N,5,25,5,1,1,0,0,
2018,300,R,24,110,5,0,0,0,0,
2018,300,SUM,29,135,5,1,1,0,0,
2018,301,N,1,3,3,0,0,0,0,
2018,301,R,11,136,13,8,3,4,1,
2018,301,SUM,12,139,12,8,3,4,1,
2018,302,R,7,80,11,5,4,0,1,
2018,302,SUM,7,80,11,5,4,0,1,
2018,303,N,6,31,5,0,0,0,0,
2018,303,R,32,212,7,2,2,0,0,
2018,303,SUM,38,243,6,2,2,0,0,
2018,304,R,1,2,2,1,1,0,0,
2018,304,SUM,1,2,2,1,1,0,0,
2018,330,R,1,10,10,1,1,0,0,
2018,330,SUM,1,10,10,1,1,0,0,
2018,340,R,2,51,26,2,2,0,0,
2018,340,SUM,2,51,26,2,2,0,0,
2018,421,R,2,7,4,2,2,0,0,
2018,421,SUM,2,7,4,2,2,0,0,
2018,422,R,4,17,4,4,4,0,0,
2018,422,SUM,4,17,4,4,4,0,0,
2018,423,R,2,21,11,2,2,0,0,
2018,423,SUM,2,21,11,2,2,0,0,
2018,424,N,1,1,1,1,1,0,0,
2018,424,R,1,7,7,1,1,0,0,
2018,424,SUM,2,8,4,2,2,0,0,
2018,441,R,3,67,22,1,1,0,0,
2018,441,SUM,3,67,22,1,1,0,0,
2018,455,R,2,12,6,2,2,0,0,
2018,455,SUM,2,12,6,2,2,0,0,
2018,482,N,5,86,17,4,2,2,0,
2018,482,R,54,277,5,45,16,28,1,
2018,482,SUM,59,362,6,49,18,30,1,
2018,500,N,11,106,10,0,0,0,0,
2018,500,R,19,97,5,2,2,0,0,
2018,500,SUM,30,203,7,2,2,0,0,
2018,501,N,21,145,7,2,2,0,0,
2018,501,R,21,84,4,0,0,0,0,
2018,501,SUM,42,229,6,2,2,0,0,
2018,502,N,7,69,10,0,0,0,0,
2018,502,R,15,86,6,1,1,0,0,
2018,502,SUM,22,155,7,1,1,0,0,
2018,503,R,3,52,17,3,3,0,0,
2018,503,SUM,3,52,17,3,3,0,0,
2018,620,R,1,1,1,1,1,0,0,
2018,620,SUM,1,1,1,1,1,0,0,
2018,622,N,5,26,5,5,2,3,0,
2018,622,R,43,210,5,34,17,16,0,
2018,622,SUM,48,236,5,39,19,19,0,
2018,680,N,10,51,5,5,2,3,0,
2018,680,R,87,424,5,66,23,43,0,
2018,680,SUM,97,475,5,71,25,46,0,
2018,Reg_1,N,1,8,8,1,1,0,0,
2018,Reg_1,R,15,164,11,14,12,1,0,
2018,Reg_1,SUM,16,172,11,15,13,1,0,
2018,Reg_2,N,3,7,2,2,2,0,0,
2018,Reg_2,R,32,258,8,29,13,13,0,
2018,Reg_2,SUM,35,265,8,31,15,13,0,
2018,Reg_3,N,12,59,5,1,1,0,0,
2018,Reg_3,R,78,601,8,19,13,4,0,
2018,Reg_3,SUM,90,660,8,20,14,4,0,
2018,Reg_4,N,6,87,14,5,3,2,0,
2018,Reg_4,R,68,408,6,57,28,28,0,
2018,Reg_4,SUM,74,494,7,62,31,30,0,
2018,Reg_5,N,39,320,8,2,2,0,0,
2018,Reg_5,R,57,319,6,6,6,0,0,
2018,Reg_5,SUM,96,639,7,8,8,0,0,
2018,Reg_6,N,15,77,5,10,4,6,0,
2018,Reg_6,R,131,634,5,101,41,59,1,
2018,Reg_6,SUM,146,711,5,111,45,65,1,
2018,State,N,76,558,7,20,13,7,0,
2018,State,R,382,2388,6,226,113,105,1,
2018,State,SUM,458,2946,7,246,126,112,1,